date,MSFT,GOOGL,AMZN,JPM,JNJ,PG,XOM,CAT,NEE,APD,SPY
2015-06-17,39.4689602133,27.0708023153,21.3905,50.5500411685,72.5819354974,58.4590146529,52.6045755896,66.539569894,18.7923270209,111.0818234919,174.5667511552
2015-06-18,40.1128958269,27.54525948,21.9695,51.0248287579,73.7802395069,58.9992203327,53.070212692,66.684469817,19.0834494653,111.6669846336,176.3241067393
2015-06-19,39.5805757196,27.6116240521,21.746,50.5055298319,73.4126615899,58.7948181836,52.9025833352,66.7454803109,18.8408474283,110.3218739571,175.6029858227
2015-06-22,39.692191226,27.7185997802,21.8145,51.1583627675,73.5817474318,58.7291174928,52.8777493564,67.3174536911,18.803524038,110.8386396408,176.5026168871
2015-06-23,39.4174453642,27.9023404984,22.2995,51.7444286983,73.3538491232,58.247312427,52.8156644094,67.4547273023,18.5291971192,110.0938890967,176.6358955633
2015-06-24,39.1813356392,27.6636261421,22.042,51.202874104,73.0230289979,58.0429102778,52.5735331161,67.2411905737,18.387368236,109.2199471318,175.3530883048
2015-06-25,39.1942143514,27.6329201461,22.005,50.9283875288,72.8686462727,57.9553093568,52.1078960136,66.135375372,18.2865950822,108.5435920459,174.7866539309
2015-06-26,38.8593678323,27.3907389838,21.905,51.1509442114,73.2509273064,57.918808973,52.0644365507,66.2116384894,18.4190931178,107.9736298948,174.8449633517
2015-06-29,38.0952309041,26.805839285,21.493,49.8526968964,71.8100218717,57.174201144,51.418753102,65.0524391056,18.3201861335,104.827438821,171.1548100042
2015-06-30,37.9063431241,26.7459130669,21.7045,50.2681360372,71.6482875882,57.11580053,51.6546759005,64.6863761423,18.2940597602,104.5981072988,171.5046665292
2015-07-01,38.1596244655,26.9073671751,21.8695,50.8245277436,72.3907949806,58.1962118897,51.1393708405,64.0228870212,18.3687065409,105.8900082075,172.9040926294
2015-07-02,38.1209883287,27.1074514074,21.8855,50.4138697407,72.3687403055,58.3495135016,51.6174249323,64.3508184259,18.7027508841,105.0185484229,172.6958446978
2015-07-06,38.1124025205,27.0222670313,21.802,50.272006067,72.1923029054,58.4371144226,51.2387067557,63.4127820824,18.7475389525,104.0477116454,172.1544000757
2015-07-07,38.0351302468,27.2406758096,21.836,49.8762810823,72.7216151059,59.6562272407,51.4497955754,64.0533922682,19.1991519752,104.6669067555,173.270608989
2015-07-08,37.9836153978,26.828125895,21.485,48.8533693296,71.8761858967,59.1233216376,50.8910310525,62.7416666497,19.0255982103,101.662663814,170.3717977814
2015-07-09,38.2240180269,26.9742270052,21.7195,49.3610919514,72.3393340722,58.8824191047,50.6613167486,62.299340569,18.8819031576,101.1046237765,170.5967055475
2015-07-10,38.3012903005,27.541792674,22.1755,50.0629438109,73.1700601647,59.0941213305,51.04624342,62.6501509088,18.9677469553,103.910112732,172.829123374
2015-07-13,39.0997704614,28.315385671,22.7785,50.8394607619,73.7140754819,59.794928699,51.170413314,63.7864713574,19.0293305493,104.3381982402,174.72834451
